id,en,fr,es
lib-terms.v_epilepsy_seizures_2,Epilepsy / seizures,Épilepsie / convulsions,
lib-terms.v_genetic_disorder,Genetic disorder,Trouble génétique,
lib-terms.v_substance_use,Substance use,Consommation de substances,
lib-terms.v_bipolar,Bipolar,Trouble bipolaire,
lib-terms.v_no_concerns_typical,No concerns / typical,Aucune préoccupation / typique,
lib-terms.v_covers_ears_at_loud_sounds,Covers ears at loud sounds,Se couvre les oreilles aux sons forts,
lib-terms.v_distressed_by_sudden_noises,Distressed by sudden noises,Perturbé par les bruits soudains,
lib-terms.v_bothered_by_background_noise,Bothered by background noise,Dérangé par le bruit de fond,
lib-terms.v_seeks_loud_sounds_makes_noise,Seeks loud sounds / makes noise,Recherche les sons forts / fait du bruit,
lib-terms.v_doesnt_respond_to_sounds_name,Doesn't respond to sounds/name,Ne réagit pas aux sons / à son nom,
lib-terms.v_bothered_by_bright_lights,Bothered by bright lights,Dérangé par les lumières vives,
lib-terms.v_avoids_eye_contact,Avoids eye contact,Évite le contact visuel,
lib-terms.v_fascinated_by_spinning_lights,Fascinated by spinning/lights,Fasciné par ce qui tourne / les lumières,
lib-terms.v_visual_clutter_overwhelms,Visual clutter overwhelms,Le désordre visuel le submerge,
lib-terms.v_misses_visual_details,Misses visual details,Manque les détails visuels,
lib-terms.v_bothered_by_clothing_tags_textures,Bothered by clothing tags/textures,Dérangé par les étiquettes / textures de vêtements,
lib-terms.v_dislikes_being_touched,Dislikes being touched,N'aime pas être touché,
lib-terms.v_distressed_by_haircuts_nails,Distressed by haircuts/nails,Perturbé par les coupes de cheveux / d'ongles,
lib-terms.v_seeks_deep_pressure_tight_hugs,Seeks deep pressure / tight hugs,Recherche la pression profonde / les câlins serrés,
lib-terms.v_mouths_or_chews_objects,Mouths or chews objects,Porte à la bouche ou mâchouille des objets,
lib-terms.v_high_pain_tolerance,High pain tolerance,Tolérance élevée à la douleur,
lib-terms.v_very_limited_food_textures,Very limited food textures,Très peu de textures alimentaires tolérées,
lib-terms.v_strong_food_preferences,Strong food preferences,Fortes préférences alimentaires,
lib-terms.v_gags_easily,Gags easily,A facilement des haut-le-cœur,
lib-terms.v_seeks_crunchy_chewy_foods,Seeks crunchy/chewy foods,Recherche les aliments croquants / à mâcher,
lib-terms.v_chews_non_food_items,Chews non-food items,Mâchouille des objets non alimentaires,
lib-terms.v_bothered_by_smells,Bothered by smells,Dérangé par les odeurs,
lib-terms.v_seeks_out_smells,Seeks out smells,Recherche les odeurs,
lib-terms.v_doesnt_notice_strong_smells,Doesn't notice strong smells,Ne remarque pas les fortes odeurs,
lib-terms.v_seeks_spinning_swinging,Seeks spinning/swinging,Recherche à tourner / se balancer,
lib-terms.v_avoids_movement_cautious,Avoids movement / cautious,Évite le mouvement / prudent,
lib-terms.v_fearful_when_feet_leave_ground,Fearful when feet leave ground,Anxieux quand les pieds quittent le sol,
lib-terms.v_constantly_moving,Constantly moving,Bouge constamment,
lib-terms.v_poor_balance,Poor balance,Équilibre faible,
lib-terms.v_bumps_into_things_clumsy,Bumps into things / clumsy,Se cogne aux objets / maladroit,
lib-terms.v_unaware_of_body_position,Unaware of body position,Peu conscient de la position de son corps,
lib-terms.v_uses_too_much_little_force,Uses too much/little force,Utilise trop ou trop peu de force,
lib-terms.v_seeks_crashing_rough_play,Seeks crashing / rough play,Recherche les chocs / le jeu brusque,
lib-terms.v_insensitive_to_temperature,Insensitive to temperature,Insensible à la température,
lib-terms.v_strong_difficulty_with_transitions,Strong difficulty with transitions,Grande difficulté avec les transitions,
lib-terms.v_walks_on_tiptoes,Walks on tiptoes,Marche sur la pointe des pieds,
lib-terms.v_clumsy_bumps_into_things,Clumsy / bumps into things,Maladroit / se cogne aux objets,
lib-terms.v_low_muscle_tone,Low muscle tone,Faible tonus musculaire,
lib-terms.v_difficulty_with_stairs,Difficulty with stairs,Difficulté dans les escaliers,
lib-terms.v_difficulty_running_or_jumping,Difficulty running or jumping,Difficulté à courir ou sauter,
lib-terms.v_delayed_gross_motor_milestones,Delayed gross-motor milestones,Retard des étapes de motricité globale,
lib-terms.v_difficulty_with_handwriting_drawing,Difficulty with handwriting / drawing,Difficulté à écrire / dessiner,
lib-terms.v_difficulty_using_utensils,Difficulty using utensils,Difficulté à utiliser les ustensiles,
lib-terms.v_difficulty_with_buttons_zippers,Difficulty with buttons / zippers,Difficulté avec les boutons / fermetures éclair,
lib-terms.v_difficulty_using_scissors,Difficulty using scissors,Difficulté à utiliser les ciseaux,
lib-terms.v_weak_or_awkward_pencil_grip,Weak or awkward pencil grip,Prise du crayon faible ou maladroite,
lib-terms.v_right,Right,Droite,
lib-terms.v_left,Left,Gauche,
lib-terms.v_both,Both,Les deux,
lib-terms.v_mainstream,Mainstream,Ordinaire,
lib-terms.v_specialized,Specialized,Spécialisée,
lib-terms.v_homeschool,Homeschool,École à la maison,
lib-terms.v_daycare_preschool,Daycare / preschool,Garderie / préscolaire,
lib-terms.v_not_in_school_yet,Not in school yet,Pas encore scolarisé,
lib-terms.v_part_time_aide,Part-time aide,Aide à temps partiel,
lib-terms.v_full_time_aide,Full-time aide,Aide à temps plein,
lib-terms.v_speech_therapy,Speech Therapy,Orthophonie,
lib-terms.v_occupational_therapy,Occupational Therapy,Ergothérapie,
lib-terms.v_aba_behaviour,ABA / Behaviour,ACA / Comportement,
lib-terms.v_psychology,Psychology,Psychologie,
lib-terms.v_psychiatry,Psychiatry,Psychiatrie,
lib-terms.v_physiotherapy,Physiotherapy,Physiothérapie,
lib-terms.v_social_skills_group,Social Skills Group,Groupe d'habiletés sociales,
lib-terms.v_infant_stimulation,Infant Stimulation,Stimulation précoce,
lib-terms.v_friendships,Friendships,Amitiés,
lib-terms.v_school_success,School Success,Réussite scolaire,
lib-terms.v_independence,Independence,Autonomie,
lib-terms.v_transition_planning,Transition Planning,Planification des transitions,
lib-terms.v_employment_preparation,Employment Preparation,Préparation à l'emploi,
lib-terms.v_speech_therapy_2,Speech therapy,Orthophonie,
lib-terms.v_today,today,aujourd'hui,
lib-terms.v_yesterday,yesterday,hier,
lib-terms.v_female,Female,Féminin,
lib-terms.v_male,Male,Masculin,
lib-terms.v_non_binary,Non-binary,Non binaire,
lib-terms.v_prefer_not_to_say,Prefer not to say,Préfère ne pas dire,
lib-terms.v_guardian,Guardian,Tuteur,
lib-terms.w_titleNeeds,Support needs wheel,Roue des besoins de soutien,
lib-terms.w_titleStrengths,Strengths wheel,Roue des forces,
lib-terms.w_ariaLevel,{d} — support level {n} of 5,{d} — niveau de soutien {n} sur 5,
lib-terms.w_ariaStrength,{d} — strength {n} of 5,{d} — force {n} sur 5,
lib-terms.w_ariaConf,", {c} confidence",", confiance {c}",
lib-terms.w_ariaNone,{d} — not enough answers yet,{d} — pas encore assez de réponses,
lib-terms.w_confHigh,High,Élevée,
lib-terms.w_confMedium,Medium,Moyenne,
lib-terms.w_confLow,Low,Faible,
lib-terms.w_confNone,No data,Aucune donnée,
lib-terms.w_confTitle,Based on {a} of {t} related questions,Basé sur {a} questions liées sur {t},
lib-terms.w_confLowWord,low,faible,
lib-terms.w_confMediumWord,medium,moyenne,
lib-terms.w_confHighWord,high,élevée,
lib-terms.d_comm,Communication,Communication,
lib-terms.ds_comm,Communication,Communication,
lib-terms.dl_comm,communication,communication,
lib-terms.d_social,Social Connection,Lien social,
lib-terms.ds_social,Social,Social,
lib-terms.dl_social,social connection,lien social,
lib-terms.d_sensory,Sensory Processing,Traitement sensoriel,
lib-terms.ds_sensory,Sensory,Sensoriel,
lib-terms.dl_sensory,sensory processing,traitement sensoriel,
lib-terms.d_flex,Flexibility & Transitions,Flexibilité et transitions,
lib-terms.ds_flex,Flexibility,Flexibilité,
lib-terms.dl_flex,flexibility and transitions,flexibilité et transitions,
lib-terms.d_emotional,Emotional Regulation,Régulation émotionnelle,
lib-terms.ds_emotional,Emotional,Émotions,
lib-terms.dl_emotional,emotional regulation,régulation émotionnelle,
lib-terms.d_exec,Executive Function,Fonctions exécutives,
lib-terms.ds_exec,Executive,Exécutif,
lib-terms.dl_exec,focus and organization,concentration et organisation,
lib-terms.d_daily,Daily Living Skills,Autonomie quotidienne,
lib-terms.ds_daily,Daily living,Quotidien,
lib-terms.dl_daily,daily living skills,autonomie quotidienne,
lib-terms.d_learning,Learning & Play,Apprentissage et jeu,
lib-terms.ds_learning,Learning & play,Apprentissage,
lib-terms.dl_learning,learning and play,apprentissage et jeu,
lib-terms.band_minimal,Minimal support,Soutien minimal,
lib-terms.band_low,Low support,Soutien léger,
lib-terms.band_moderate,Moderate support,Soutien modéré,
lib-terms.band_high,High support,Soutien élevé,
lib-terms.band_intensive,Intensive support,Soutien intensif,
lib-terms.sband_emerging,Emerging,Émergente,
lib-terms.sband_developing,Developing,En développement,
lib-terms.sband_solid,Solid,Solide,
lib-terms.sband_strong,Strong,Forte,
lib-terms.sband_exceptional,Shining,Rayonnante,
lib-terms.sense_auditory,Sound,Son,
lib-terms.sense_visual,Sight,Vue,
lib-terms.sense_tactile,Touch,Toucher,
lib-terms.sense_oral,Taste & mouth,Goût et bouche,
lib-terms.sense_smell,Smell,Odorat,
lib-terms.sense_movement,Movement & balance,Mouvement et équilibre,
lib-terms.sense_body,Body awareness,Conscience du corps,
lib-terms.sq_comm_answersSimple,Answers simple yes/no questions,Répond à des questions simples par oui ou non,
lib-terms.sq_comm_answersOpen,Answers open-ended questions,Répond à des questions ouvertes,
lib-terms.sq_comm_backForth,Keeps a back-and-forth exchange going,Maintient un échange à tour de rôle,
lib-terms.sq_comm_understandsInstr,Understands familiar instructions,Comprend les consignes familières,
lib-terms.sq_comm_exprFeelings,Expresses feelings with words or signs,Exprime ses émotions avec des mots ou des signes,
lib-terms.sq_comm_requestHelp,Asks for help when needed,Demande de l'aide au besoin,
lib-terms.sq_soc_respondsName,Responds to their name,Réagit à son nom,
lib-terms.sq_soc_sharesEnjoy,Shares enjoyment — shows or points things out,Partage son plaisir — montre ou pointe des choses,
lib-terms.sq_soc_takesTurns,Takes turns in games or activities,Attend son tour dans les jeux ou les activités,
lib-terms.sq_soc_understandsEmo,Notices how others are feeling,Remarque ce que ressentent les autres,
lib-terms.sq_soc_initiates,Starts interactions with other children,Initie des interactions avec d'autres enfants,
lib-terms.sq_soc_maintains,Keeps play going with another child,Fait durer le jeu avec un autre enfant,
lib-terms.sq_flex_unexpected,Copes when something unexpected happens,Gère les imprévus,
lib-terms.sq_flex_transitions,Moves between activities without distress,Passe d'une activité à l'autre sans détresse,
lib-terms.sq_flex_waiting,Waits calmly when asked,Attend calmement lorsqu'on le lui demande,
lib-terms.sq_flex_interruptions,Handles interruptions to play or routines,Tolère les interruptions du jeu ou des routines,
lib-terms.sq_flex_newEnv,Adjusts to new places,S'adapte aux nouveaux endroits,
lib-terms.sq_flex_changePlans,Accepts a change of plans,Accepte un changement de plans,
lib-terms.sq_emo_recovers,Recovers from upset within a reasonable time,Se remet d'une contrariété dans un délai raisonnable,
lib-terms.sq_emo_identifies,Names or shows what they're feeling,Nomme ou montre ce qu'il ressent,
lib-terms.sq_emo_coping,"Uses a calming strategy, with or without help","Utilise une stratégie d'apaisement, avec ou sans aide",
lib-terms.sq_emo_anxious,Becomes anxious or overwhelmed,Devient anxieux ou submergé,
lib-terms.sq_emo_limits,Accepts limits or being told no,Accepte les limites ou un refus,
lib-terms.sq_emo_frustration,Manages frustration during hard tasks,Gère la frustration pendant les tâches difficiles,
lib-terms.sq_exec_attention,Stays focused on an activity for a few minutes,Reste concentré sur une activité quelques minutes,
lib-terms.sq_exec_completes,Finishes short tasks,Termine de courtes tâches,
lib-terms.sq_exec_switches,Switches between tasks when asked,Change de tâche lorsqu'on le lui demande,
lib-terms.sq_exec_multiStep,Follows two-step instructions,Suit des consignes en deux étapes,
lib-terms.sq_exec_organizes,Keeps track of their belongings,Garde la trace de ses effets personnels,
lib-terms.sq_exec_begins,Starts tasks without many reminders,Commence ses tâches sans trop de rappels,
lib-terms.sq_learn_pretend,Uses pretend or imaginative play,Fait des jeux de rôle ou d'imagination,
lib-terms.sq_learn_independent,Plays independently for a stretch,Joue seul pendant un bon moment,
lib-terms.sq_learn_problemSolve,Tries different ways to solve a problem,Essaie différentes façons de résoudre un problème,
lib-terms.sq_learn_gameRules,Learns the rules of simple games,Apprend les règles de jeux simples,
lib-terms.sq_learn_curiosity,Shows curiosity about new things,Montre de la curiosité pour la nouveauté,
lib-terms.sq_learn_persists,Keeps trying when something is hard,Persévère quand c'est difficile,
login.title,Family sign in — UniqueApex,Connexion famille — UniqueApex,
login.confirmed,✓ Email confirmed — you can sign in now,✓ Courriel confirmé — vous pouvez maintenant vous connecter,
login.brandSub,FAMILIES,FAMILLES,
login.heading,Welcome back,Bon retour,
login.sub,Sign in to your child's passport and journey.,Connectez-vous au passeport et au parcours de votre enfant.,
login.email,Email,Courriel,
login.password,Password,Mot de passe,
login.emailPh,you@example.com,vous@exemple.com,
login.passwordPh,Your password,Votre mot de passe,
login.signIn,Sign in,Se connecter,
login.signingIn,Signing in…,Connexion…,
login.noAccount,Don't have an account?,Pas encore de compte?,
login.create,Create one →,Créez-en un →,
login.areProvider,Are you a service provider?,Vous êtes un professionnel?,
login.proSignIn,Provider sign in →,Connexion professionnels →,
login.errEmpty,Please enter your email and password.,Veuillez entrer votre courriel et votre mot de passe.,
login.errInvalid,Invalid email or password.,Courriel ou mot de passe invalide.,
login.errGeneric,Something went wrong. Please try again.,Une erreur est survenue. Veuillez réessayer.,
login.errNotConfirmed,Please confirm your email first — check your inbox for the confirmation link.,Veuillez d'abord confirmer votre courriel — vérifiez votre boîte de réception.,
passport.hdrTitleLead,Family,Passeport,
passport.hdrTitleKey,Passport,familial,
passport.hdrIntro,"Fill this in once and keep it updated. Export a PDF for any provider, therapist, or school — share only what's relevant.","Remplissez-le une fois et gardez-le à jour. Exportez un PDF pour tout professionnel, thérapeute ou école — ne partagez que ce qui est pertinent.",
passport.commSelect,Select...,Sélectionner…,
passport.commOptional,Optional,Facultatif,
passport.commSaving,Saving...,Enregistrement…,
passport.optYes,Yes,Oui,
passport.optNo,No,Non,
passport.optSometimes,Sometimes,Parfois,
passport.optNone,None,Aucune,
passport.optMild,Mild,Légère,
passport.optSignificant,Significant,Importante,
passport.optOther,Other,Autre,
passport.navBack,← Back,← Retour,
passport.navSaveClose,Save & close,Enregistrer et fermer,
passport.navNext,Next →,Suivant →,
passport.navReviewExport,Review & export →,Révision et exportation →,
passport.navSavePassport,Save Passport,Enregistrer le passeport,
passport.stepOf,Step {n} of {total} · {name},Étape {n} de {total} · {name},
passport.reviewStepLabel,Review & export,Révision et exportation,
passport.scaleNever,Never,Jamais,
passport.scaleRarely,Rarely,Rarement,
passport.scaleSometimes,Sometimes,Parfois,
passport.scaleOften,Often,Souvent,
passport.scaleConsistently,Consistently,Constamment,
passport.s1Title,Child Profile,Profil de l'enfant,
passport.s1Sub,Basic identifying information about your child — used in all PDFs and provider outreach.,Renseignements de base sur votre enfant — utilisés dans tous les PDF et les démarches auprès des professionnels.,
passport.s1FirstName,First name *,Prénom *,
passport.s1FirstNamePh,Child's first name,Prénom de l'enfant,
passport.s1LastName,Last name *,Nom de famille *,
passport.s1LastNamePh,Child's last name,Nom de famille de l'enfant,
passport.s1Dob,Date of birth *,Date de naissance *,
passport.s1Gender,Gender *,Sexe *,
passport.s1City,City / region,Ville / région,
passport.s1CityPh,"e.g. Montréal, QC","ex. Montréal, QC",
passport.s1Country,Country,Pays,
passport.s1CountryPh,e.g. Canada,ex. Canada,
passport.s1HealthIns,Health insurance # (e.g. RAMQ — optional),Nº d'assurance maladie (ex. RAMQ — facultatif),
passport.s1HomeLang,Language(s) spoken at home,Langue(s) parlée(s) à la maison,
passport.s1HomeLangPh,"e.g. English, French","ex. anglais, français",
passport.s1BestLang,Language child understands best,Langue que l'enfant comprend le mieux,
passport.s1BestLangPh,e.g. English,ex. anglais,
passport.genderFemale,Female,Féminin,
passport.genderMale,Male,Masculin,
passport.genderNonBinary,Non-binary,Non binaire,
passport.genderPreferNot,Prefer not to say,Préfère ne pas dire,
passport.errFirstName,Please enter your child's first name.,Veuillez entrer le prénom de votre enfant.,
passport.errLastName,Please enter your child's last name.,Veuillez entrer le nom de votre enfant.,
passport.errDob,Date of birth is required.,La date de naissance est requise.,
passport.errGender,Please make a selection.,Veuillez faire une sélection.,
passport.s2Title,Parents & Household,Parents et foyer,
passport.s2Sub,Contact details for guardians and household context — helps providers know who to reach and how the family is structured.,Coordonnées des tuteurs et contexte familial — aident les professionnels à savoir qui joindre et comment la famille est structurée.,
passport.s2Guardian1,Parent / Guardian 1 *,Parent / tuteur 1 *,
passport.s2Guardian2,Parent / Guardian 2 (optional),Parent / tuteur 2 (facultatif),
passport.s2FullNameReq,Full name *,Nom complet *,
passport.s2FullName,Full name,Nom complet,
passport.s2EmailReq,Email *,Courriel *,
passport.s2Email,Email,Courriel,
passport.s2Phone,Phone,Téléphone,
passport.errG1name,Guardian name is required.,Le nom du tuteur est requis.,
passport.errG1email,Email is required.,Le courriel est requis.,
passport.s2RelPlaceholder,Relationship to child...,Lien avec l'enfant...,
passport.relMother,Mother,Mère,
passport.relFather,Father,Père,
passport.relGuardian,Guardian,Tuteur,
passport.s2Custody,Legal custody,Garde légale,
passport.custodyTogether,Guardians together,Tuteurs ensemble,
passport.custodyJoint,Joint custody,Garde partagée,
passport.custodySingle,Single custody,Garde exclusive,
passport.s2FamilyStatus,Family status,Situation familiale,
passport.msMarried,Married,Marié(e),
passport.msLiving,Living together,Conjoints de fait,
passport.msSeparated,Separated,Séparé(e),
passport.msDivorced,Divorced,Divorcé(e),
passport.msSingle,Single,Célibataire,
passport.s2LivesWith,Who the child lives with,Avec qui l'enfant vit,
passport.livesBoth,Both parents,Les deux parents,
passport.livesSiblings,Siblings,Fratrie,
passport.livesGrandparents,Grandparents,Grands-parents,
passport.livesFoster,Foster family,Famille d'accueil,
passport.s2Siblings,"Siblings (name, age, relationship)","Fratrie (nom, âge, lien)",
passport.s2SiblingsPh,"e.g. Sara, 8, sister","ex. Sara, 8 ans, sœur",
passport.s2Funding,Do you receive government funding?,Recevez-vous une aide gouvernementale?,
passport.s2FundingTypePh,"If yes, which programs / subsidies?","Si oui, quels programmes / subventions?",
passport.s3Title,Diagnosis,Diagnostic,
passport.s3Sub,"Diagnoses, assessments, and family history — helpful context for any professional who works with your child.","Diagnostics, évaluations et antécédents familiaux — un contexte utile pour tout professionnel qui travaille avec votre enfant.",
passport.s3Status,Diagnosis status,Statut du diagnostic,
passport.dxDiagnosed,Diagnosed,Diagnostiqué,
passport.dxAssessmentPending,Assessment Pending,Évaluation en attente,
passport.dxSelfIdentified,Self-Identified Concerns,Préoccupations auto-identifiées,
passport.s3Diagnoses,Diagnoses (select any that apply),Diagnostics (cochez ce qui s'applique),
passport.dgAutism,Autism,Autisme,
passport.dgADHD,ADHD,TDAH,
passport.dgSpeechLang,Speech / Language Disorder,Trouble du langage / de la parole,
passport.dgGDD,Global Developmental Delay,Retard global de développement,
passport.dgIntellectual,Intellectual Disability,Déficience intellectuelle,
passport.dgLearningDiff,Learning Difficulty,Difficulté d'apprentissage,
passport.dgDyspraxia,Dyspraxia / DCD,Dyspraxie / TAC,
passport.dgSensoryProc,Sensory Processing,Traitement sensoriel,
passport.dgAnxiety,Anxiety,Anxiété,
passport.dgDepression,Depression,Dépression,
passport.dgOCD,OCD,TOC,
passport.dgTourettes,Tourette's / Tics,Syndrome de Tourette / tics,
passport.dgEpilepsy,Epilepsy / Seizures,Épilepsie / convulsions,
passport.dgGenetic,Genetic Condition,Maladie génétique,
passport.s3DiagnosedBy,Diagnosed / referred by,Diagnostiqué / référé par,
passport.s3DiagnosedByPh,Professional name & title,Nom et titre du professionnel,
passport.s3DiagDate,Date of diagnosis,Date du diagnostic,
passport.s3DiagDatePh,e.g. March 2024,ex. mars 2024,
passport.s3Awaiting,If awaiting assessment — with whom / where?,Si en attente d'évaluation — avec qui / où?,
passport.s3FamHistTitle,Family History,Antécédents familiaux,
passport.s3FamHistSub,Conditions present in close relatives (helps professionals understand the full picture).,Conditions présentes chez des proches (aide les professionnels à comprendre le portrait global).,
passport.fhDevDelay,Developmental / language delay,Retard de développement / du langage,
passport.fhLearningDiff,Learning difficulties,Difficultés d'apprentissage,
passport.fhAutism,Autism,Autisme,
passport.fhADHD,ADHD,TDAH,
passport.fhAnxiety,Anxiety,Anxiété,
passport.fhDepression,Depression,Dépression,
passport.fhOCD,OCD,TOC,
passport.fhBipolar,Bipolar,Trouble bipolaire,
passport.fhTourettes,Tourette's / tics,Tourette / tics,
passport.fhIntellectual,Intellectual disability,Déficience intellectuelle,
passport.fhEpilepsy,Epilepsy / seizures,Épilepsie / convulsions,
passport.fhGenetic,Genetic disorder,Trouble génétique,
passport.fhSubstance,Substance use,Consommation de substances,
passport.s3FamNotes,"Notes (relation to child, details)","Notes (lien avec l'enfant, détails)",
passport.s3FamNotesPh,e.g. Maternal uncle — autism,ex. Oncle maternel — autisme,
passport.s4Title,Birth & Development,Naissance et développement,
passport.s4Sub,"Pregnancy, birth, and early developmental milestones — often relevant to OT, SLP, and paediatric assessments.","Grossesse, naissance et premières étapes de développement — souvent pertinents pour les évaluations en ergothérapie, en orthophonie et en pédiatrie.",
passport.s4Pregnancy,Pregnancy (any complications),Grossesse (complications éventuelles),
passport.s4Gestation,Weeks at birth,Semaines à la naissance,
passport.s4GestationPh,e.g. 40,ex. 40,
passport.s4BirthWeight,Birth weight,Poids à la naissance,
passport.s4BirthWeightPh,e.g. 3.2 kg,"ex. 3,2 kg",
passport.s4Regression,Lost / regressed skills?,Perte / régression d'acquis?,
passport.s4Complications,Birth / post-birth complications,Complications à la naissance / après,
passport.s4ComplicationsPh,"e.g. breathing difficulty, feeding issues, tongue tie","ex. difficulté respiratoire, problèmes d'alimentation, frein de langue",
passport.s4Milestones,Developmental milestones (approx. age reached — leave blank if unsure),Étapes de développement (âge approx. atteint — laissez vide si incertain),
passport.s4AgePh,age,âge,
passport.s4RegressionNotes,"If skills were lost, describe","Si des acquis ont été perdus, décrivez",
passport.msSit,Sat unsupported,S'est assis sans appui,
passport.msCrawl,Crawled,A rampé,
passport.msWalk,Walked,A marché,
passport.msFirstWord,First words,Premiers mots,
passport.msPhrases,2-word phrases,Phrases de 2 mots,
passport.msSentences,Simple sentences,Phrases simples,
passport.msToiletDay,Toilet trained (day),Propreté (jour),
passport.msToiletNight,Toilet trained (night),Propreté (nuit),
passport.s5Title,Communication Profile,Profil de communication,
passport.s5Sub,"How your child communicates today — their style, methods, strengths and challenges. Directly used for SLP referrals.","Comment votre enfant communique aujourd'hui — son style, ses moyens, ses forces et ses défis. Utilisé directement pour les références en orthophonie.",
passport.s5Style,Communication style,Style de communication,
passport.commFluentVerbal,Fluent Verbal,Verbal fluide,
passport.commVerbal,Verbal,Verbal,
passport.commLimitedVerbal,Limited Verbal,Verbal limité,
passport.commNonSpeaking,Non-Speaking,Non verbal,
passport.s5Means,Primary means of communication (select any),Principaux moyens de communication (cochez ce qui s'applique),
passport.meansWords,Words,Mots,
passport.meansSentences,Sentences,Phrases,
passport.meansSounds,Sounds,Sons,
passport.meansPECS,Pictures (PECS),Images (PECS),
passport.meansSign,Sign language,Langue des signes,
passport.meansDevice,Device / AAC app,Appareil / appli CAA,
passport.meansNone,No primary means yet,Aucun moyen principal pour l'instant,
passport.s5CanExpress,Can express needs,Peut exprimer ses besoins,
passport.ceConsistently,Consistently,Régulièrement,
passport.ceSometimes,Sometimes,Parfois,
passport.ceRarely,Rarely,Rarement,
passport.s5Challenges,Communication challenges (select any),Défis de communication (cochez ce qui s'applique),
passport.chRequesting,Requesting,Demander,
passport.chConversation,Conversation,Conversation,
passport.chQuestionAns,Question Answering,Répondre aux questions,
passport.chEmotionalExpr,Emotional Expression,Expression des émotions,
passport.chSocialComm,Social Communication,Communication sociale,
passport.s5ScaleHeader,How often does your child do each of these?,À quelle fréquence votre enfant fait-il chacun de ces gestes?,
passport.s6Title,Sensory Profile,Profil sensoriel,
passport.s6Sub,How your child responds to sensory input across each sense. This feeds directly into the development wheel.,Comment votre enfant réagit aux stimuli sensoriels pour chaque sens. Ceci alimente directement la roue de développement.,
passport.s6Sub2,"For each sense, tick 'no concerns' if it's typical, or select any signs you notice — then choose how much it affects daily life.","Pour chaque sens, cochez « aucune préoccupation » si c'est typique, ou sélectionnez les signes que vous remarquez — puis indiquez à quel point cela affecte le quotidien.",
passport.s6NoConcerns,No concerns / typical,Aucune préoccupation / typique,
passport.s6SevQ,How much does this affect daily life?,À quel point cela affecte-t-il le quotidien?,
passport.s6SevPlaceholder,Select severity…,Choisir la gravité…,
passport.sevMild,Mild — manageable,Légère — gérable,
passport.sevModerate,Moderate — needs some support,Modérée — nécessite un certain soutien,
passport.sevSignificant,Significant — needs a lot of support,Importante — nécessite beaucoup de soutien,
passport.s6OtherSigns,Other sensory signs (select any),Autres signes sensoriels (cochez ce qui s'applique),
passport.s6Notes,Provider notes — sensory,Notes pour le professionnel — sensoriel,
passport.s6NotesPh,"Anything a provider should know — e.g. 'covers ears at hand dryers', 'loves deep pressure hugs', 'will not tolerate seams in socks'","Tout ce qu'un professionnel devrait savoir — ex. « se couvre les oreilles aux sèche-mains », « adore les câlins serrés », « ne tolère pas les coutures dans les chaussettes »",
passport.senseAuditory,Sound (auditory),Son (auditif),
passport.senseVisual,Sight (visual),Vue (visuel),
passport.senseTactile,Touch (tactile),Toucher (tactile),
passport.senseOral,Taste & mouth (oral),Goût et bouche (oral),
passport.senseSmell,Smell,Odorat,
passport.senseMovement,Movement & balance,Mouvement et équilibre,
passport.senseBody,Body awareness,Conscience du corps,
passport.sgAudCovers,Covers ears at loud sounds,Se couvre les oreilles aux sons forts,
passport.sgAudSudden,Distressed by sudden noises,Perturbé par les bruits soudains,
passport.sgAudBackground,Bothered by background noise,Dérangé par le bruit de fond,
passport.sgAudSeeks,Seeks loud sounds / makes noise,Recherche les sons forts / fait du bruit,
passport.sgAudNoResponse,Doesn't respond to sounds/name,Ne réagit pas aux sons / à son nom,
passport.sgVisBright,Bothered by bright lights,Dérangé par les lumières vives,
passport.sgVisEye,Avoids eye contact,Évite le contact visuel,
passport.sgVisSpinning,Fascinated by spinning/lights,Fasciné par ce qui tourne / les lumières,
passport.sgVisClutter,Visual clutter overwhelms,Le désordre visuel le submerge,
passport.sgVisMisses,Misses visual details,Manque les détails visuels,
passport.sgTacTags,Bothered by clothing tags/textures,Dérangé par les étiquettes / textures de vêtements,
passport.sgTacTouched,Dislikes being touched,N'aime pas être touché,
passport.sgTacHaircuts,Distressed by haircuts/nails,Perturbé par les coupes de cheveux / d'ongles,
passport.sgTacPressure,Seeks deep pressure / tight hugs,Recherche la pression profonde / les câlins serrés,
passport.sgTacMouths,Mouths or chews objects,Porte à la bouche ou mâchouille des objets,
passport.sgTacPain,High pain tolerance,Tolérance élevée à la douleur,
passport.sgOralTextures,Very limited food textures,Très peu de textures alimentaires tolérées,
passport.sgOralPrefs,Strong food preferences,Fortes préférences alimentaires,
passport.sgOralGags,Gags easily,A facilement des haut-le-cœur,
passport.sgOralCrunchy,Seeks crunchy/chewy foods,Recherche les aliments croquants / à mâcher,
passport.sgOralNonFood,Chews non-food items,Mâchouille des objets non alimentaires,
passport.sgSmellBothered,Bothered by smells,Dérangé par les odeurs,
passport.sgSmellSeeks,Seeks out smells,Recherche les odeurs,
passport.sgSmellNoNotice,Doesn't notice strong smells,Ne remarque pas les fortes odeurs,
passport.sgMovSpinning,Seeks spinning/swinging,Recherche à tourner / se balancer,
passport.sgMovAvoids,Avoids movement / cautious,Évite le mouvement / prudent,
passport.sgMovFeet,Fearful when feet leave ground,Anxieux quand les pieds quittent le sol,
